Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
PP_0680,0.06051615733333334,0.05243927922222222,-0.20667252607840753,0.17890124376233596,0.7473866401076318
PP_0684,0.05341024491666666,0.06851624522222222,0.3593295922256089,0.0010205599010456657,2.9911614995906146
PP_0686,0.0327009525,0.034196468555555554,0.0645146881677581,0.8144054286984141,0.08915934005900202
PP_0687,0.036894694166666665,0.03613149277777778,-0.03015649578778249,0.782036171776214,0.10677315891009662
PP_0688,0.27875652058333333,0.45081463522222226,0.6935287993566676,1.032552050047607e-07,6.986088046713984
PP_0689,0.13000122958333335,0.08944151455555555,-0.5395087453403368,0.019758758075556347,1.7042403561999626
PP_0690,0.04745836975,0.05176567444444444,0.12533322806086053,0.4741586878809655,0.32407628757189966
PP_0691,0.028473021,0.036722511666666666,0.3670691646741943,0.43724127603809415,0.35927884692947587
PP_0693,0.011145821083333333,0.020834434111111112,0.9024670151356794,0.0007130542804088531,3.1468774087389364
PP_0695,0.0021637119166666666,0.006211792777777777,1.5215012759143485,0.03862963112954459,1.413079438869629
PP_0707,0.0038837811666666664,0.05992726711111112,3.9476787646848104,0.0017286598610090393,2.762290452081184
PP_0712,0.017404935666666666,0.025269145555555556,0.5378804007034623,0.09075833567474953,1.0421134768009817
PP_0719,0.05221860916666667,0.05953628344444444,0.18920513183711787,0.1435524585551749,0.8429893651472554
PP_0720,0.005718045083333334,0.008807609888888889,0.6232285749458383,0.1935116130772242,0.7132929668516979
PP_0721,0.2673344551666667,0.3015985281111111,0.17398359780188644,0.14707399019138656,0.8324641247920485
PP_0722,0.12919207800000002,0.15382500822222223,0.25177246231922884,0.006882570179582424,2.1622493515365213
PP_0725,0.012614066333333333,0.01672849222222222,0.4072739927754397,0.1266075153896837,0.8975405139442943
PP_0733,0.009666576916666668,0.0061629841111111115,-0.6493760279910731,0.05617900185077895,1.2504259813065621
PP_0734,0.00756830425,0.006882116222222222,-0.13711783108378844,0.6905706765390882,0.16079186688960795
PP_0735,0.00975416325,0.01611984422222222,0.7247477788496718,0.000757418351365894,3.1206641766374377
PP_0742,0.00534771975,0.005298084222222222,-0.013453084212204449,0.9793487240477976,0.009062638163474865
PP_0744,0.0046798605,0.006720046777777777,0.5220057497808509,0.26562414335965423,0.5757324532071193
PP_0746,0.03501562775,0.02507018911111111,-0.48202607308136297,0.0019376659001204834,2.712721103571382
